booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
0.0,0.0,1.1362938464862943e-06,0.0,3865.0
0.0,0.0,1.2113455246583905e-07,0.0,7644.0
0.0,0.0,5.390826394075626e-07,0.0,5681.0
0.0,0.0,7.315574385628348e-07,0.0,5058.0
0.0,0.0,1.487941140934791e-07,0.0,7475.0
0.0,0.0,3.8476544565209394e-07,0.0,6288.0
0.0,0.0,2.948421978901847e-07,0.0,6706.0
0.0,0.0,4.1528231474831007e-07,0.0,6169.0
0.0,0.0,3.440009065732834e-07,0.0,6460.0
0.0,0.0,4.064642089592868e-07,0.0,6204.0
0.0,0.0,2.6885761495513517e-07,0.0,6837.0
0.0,0.0,2.47065886159475e-07,0.0,6947.0
0.0,0.0,1.87296149341578e-06,0.0,2701.0
109.0,77415.5,1.3801293713175612e-06,710.2339449541284,3391.0
0.0,0.0,9.937311888630992e-07,0.0,4259.0
1698.0,630900.9,1.4893965041764352e-06,371.5553003533569,3213.0
0.0,0.0,1.4342765631881872e-06,0.0,3299.0
0.0,0.0,2.0125186637591125e-06,0.0,2552.0
587.0,146538.62,2.3605422873240793e-06,249.63989778534923,2214.0
2035.0,510846.56,2.4990292703228134e-06,251.0302506142506,2081.0
0.0,0.0,2.363835407485666e-06,0.0,2210.0
0.0,0.0,2.1343287860719335e-06,0.0,2416.0
0.0,0.0,2.3749363037638014e-06,0.0,2202.0
4093.0,1209877.04,2.840652059238372e-06,295.59663816271683,1783.0
0.0,0.0,5.978630900570668e-07,0.0,5478.0
0.0,0.0,1.5996067070570193e-06,0.0,3053.0
0.0,0.0,2.026835794893624e-06,0.0,2541.0
0.0,0.0,2.812021669243046e-06,0.0,1799.0
0.0,0.0,2.2194392159616335e-06,0.0,2337.0
0.0,0.0,1.152618050498121e-06,0.0,3830.0
0.0,0.0,1.9632739092482683e-06,0.0,2610.0
0.0,0.0,7.5263705944851e-07,0.0,4973.0
0.0,0.0,1.4682245813352462e-06,0.0,3253.0
