original_city,canonical_city,changed,original_bookings,canonical_bookings
Monachil,Granada,True,449,8287
Benidorm,Calpe,True,448,2438
Sant Lluís,"Maó, Illes Balears",True,446,3590
Astudillo,Astudillo,False,445,445
Bóveda ,"Sarria, Lugo",True,442,5622
Canet de Mar,Tossa de Mar,True,440,2191
Estella-Lizarra,Pamplona,True,440,2752
"Canet d'Adri, Girona","Vall-llobrega, Girona",True,439,2228
Silleda,O Pino,True,437,4209
San Bartolomé de Tirajana,San Bartolomé de Tirajana,False,437,437
Turre - Almeria,Mojácar,True,437,3106
"Taranilla, León,","Taranilla, León,",False,437,437
Villalba de la Sierra ,Villalba de la Sierra ,False,436,436
Tudes,Tudes,False,434,434
L'Ampolla,Cambrils,True,434,2341
 Guzmán, Guzmán,False,432,432
Benissivà,Denia,True,430,2751
Ayora,Yecla,True,427,3487
Valle,"Candás, Asturias",True,426,2209
Pereiro de Aguiar,Pereiro de Aguiar,False,425,425
"Lukiano, Araba",Bergara,True,425,2465
Urrea de Gaen,"Belchite, Zaragoza",True,423,3221
Llanes,Llanes,False,422,422
"Mourisca, Province of Ourense",Soutomaior,True,421,4997
"Sada, A Coruña",Miño,True,420,4974
"Portocolom, Illes Balears","Portocolom, Illes Balears",False,417,417
Baiona,"Redondela, Pontevedra",True,417,3088
BAZA,BAZA,False,417,417
"38700 Santa Cruz de la Palma , Santa Cruz de Tenerife ","38700 Santa Cruz de la Palma , Santa Cruz de Tenerife ",False,417,417
Ripoll,Ripoll,False,417,417
Vigo,"Redondela, Pontevedra",True,416,3088
Guadix,Granada,True,414,8287
Daroca,Daroca,False,412,412
"Santa Margarida de Montbui, Barcelona",Cervera,True,408,3682
Larrión,Pamplona,True,406,2752
Goizueta,San Sebastián-Donostia,True,406,3497
"Constantina, Sevilla","Constantina, Sevilla",False,405,405
Legazpi,Bergara,True,405,2465
Orihuela Costa,Torrevieja,True,404,5325
El Valle,"Candás, Asturias",True,404,2209
"Benidorm, Alicante",Calpe,True,403,2438
"Reíllo, Cuenca","Reíllo, Cuenca",False,403,403
Briñas,Santo Domingo de la Calzada,True,402,10773
"Cabó, Lleida,","Cabó, Lleida,",False,399,399
"Freixenet de Segarra, Lleida",Cervera,True,397,3682
Cabrera de Mar,Barcelona,True,395,27987
Talaván,Talaván,False,393,393
Cazorla,Cazorla,False,393,393
TEULADA,Calpe,True,392,2438
"El Mas de Gerembí, Tarragona",Tarragona,True,389,3075
Maturana - Barrundia,Bergara,True,388,2465
Altea,Calpe,True,388,2438
Sant Salvador de Bianya,Sant Salvador de Bianya,False,385,385
"Orba, Alicante",Denia,True,383,2751
Les Useres,Les Useres,False,382,382
Els Masos de Pals,"L'Escala, Girona",True,381,3166
"Sant Martí Vell, Girona","Vall-llobrega, Girona",True,380,2228
Las palmas,Las palmas,False,380,380
Villablino ,Villablino ,False,379,379
Castellbisbal ,Barcelona,True,375,27987
"Chulilla, Valencia",Manises,True,374,5501
Torrelles de Foix,Sitges,True,373,4574
GIJÓN,"Candás, Asturias",True,372,2209
"Salobreña, Granada",Nerja,True,371,4525
"Ribes de Freser,","Ribes de Freser,",False,371,371
Leon,León,True,369,5305
"Deltebre, Tarragona",Valderrobres,True,368,3742
Cala Rajada,Cala Rajada,False,366,366
Guadalcanal,Guadalcanal,False,364,364
Arbancon,Guadalajara,True,364,3510
Manzanal de los Infantes,Manzanal de los Infantes,False,363,363
 Matalascañas (Almonte),Matalascañas,True,362,2685
Capellades,Sitges,True,361,4574
"Tramacastilla de Tena, Huesca","Tramacastilla de Tena, Huesca",False,360,360
CANGAS DE ONIS,CANGAS DE ONIS,False,357,357
Badajoz ,Badajoz ,False,357,357
Santa Maria de Nava,Santa Maria de Nava,False,356,356
