"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"59607",1,5,True,5,False,False,False,False
"87475",1,2,True,2,False,False,False,False
"66369",1,4,False,4,False,False,False,False
"60559",12,2,False,2,False,False,False,False
"60562",2,3,True,3,False,False,False,False
"60546",1,4,True,4,False,False,False,False
"60558",9,2,False,2,False,False,False,False
"64450",1,2,True,2,False,False,False,False
"60560",2,1,False,1,False,False,False,False
"60013",2,4,True,2,False,False,False,False
"60368",1,3,False,3,False,False,False,False
"60456",1,4,False,4,False,False,False,False
"50826",1,5,False,5,False,False,False,False
"55966",1,2,True,2,False,False,False,False
"61004",1,2,False,2,False,False,False,False
"55631",1,4,True,4,False,False,False,False
"62691",1,2,False,2,False,False,False,False
"31961",1,4,False,4,False,False,False,False
"70771",1,6,False,6,False,False,False,False
"57636",1,4,True,4,False,False,False,False
"70837",3,2,True,1,False,False,False,False
"33806",1,4,False,4,False,False,False,False
"60455",1,4,False,4,False,False,False,False
"14891",1,2,False,2,False,False,False,False
"61179",1,5,True,5,False,False,False,False
"67415",1,6,False,6,False,False,False,False
"80593",1,2,True,2,False,False,False,False
"56620",1,4,True,1,False,False,False,False
"57198",1,6,True,6,False,False,False,False
"8133",1,25,False,24,False,False,False,False
"60561",2,3,True,3,False,False,False,False
"60375",1,2,False,2,False,False,False,False
"61658",1,2,False,2,False,False,False,False
"79106",1,4,True,4,False,False,False,False
"57447",1,7,True,7,False,False,False,False
"61005",1,2,False,2,False,False,False,False
"31962",1,4,False,4,False,False,False,False
"35293",1,3,False,3,False,False,False,False
"81111",1,5,True,5,False,False,False,False
"71402",1,3,True,3,False,False,False,False
"70052",1,4,False,4,False,False,False,False
"58599",1,3,False,3,False,False,False,False
"59013",1,7,False,7,False,False,False,False
"93499",1,1,False,1,False,False,False,False
"18511",1,4,True,4,False,False,False,False
"83862",1,2,False,2,False,False,False,False
"77576",1,4,True,4,False,False,False,False
"63856",8,3,False,3,False,False,False,False
"74548",3,3,False,3,False,False,False,False
"63353",1,2,True,2,False,False,False,False
"48537",1,5,True,5,False,False,False,False
"61180",1,5,False,5,False,False,False,False
"70422",1,3,True,3,False,False,False,False
"66017",1,2,True,2,False,False,False,False
"61545",1,2,False,2,False,False,False,False
"10592",1,2,True,2,False,False,False,False
"31963",1,4,False,4,False,False,False,False
"42976",1,4,True,4,False,False,False,False
"61007",1,3,False,3,False,False,False,False
"19732",1,8,False,8,False,False,False,False
"51227",1,4,True,4,False,False,False,False
"60547",1,4,True,4,False,False,False,False
"59985",1,3,False,2,False,False,False,False
"60565",12,4,False,4,False,False,False,False
"59490",1,4,False,4,False,False,False,False
"60574",1,6,False,6,False,False,False,False
"42512",1,2,False,2,False,False,False,False
"29327",4,2,True,2,False,False,False,False
"64603",1,6,True,6,False,False,False,False
"63340",1,1,False,1,False,False,False,False
"69008",1,5,True,5,False,False,False,False
"64451",1,2,True,2,False,False,False,False
"60502",1,2,False,2,False,False,False,False
"41949",1,4,False,2,False,False,False,False
"57758",1,5,False,4,False,False,False,False
"60568",1,2,False,2,False,False,False,False
"57868",1,8,False,8,False,False,False,False
"73984",1,3,True,3,False,False,False,False
"26285",1,4,True,4,False,False,False,False
"31964",1,4,False,4,False,False,False,False
"59474",1,7,False,7,False,False,False,False
"57986",1,2,False,2,False,False,False,False
"67346",1,5,True,2,False,False,False,False
"60571",1,2,False,2,False,False,False,False
"1764",2,2,False,2,False,False,False,False
"44775",1,6,True,6,False,False,False,False
"71879",1,4,True,4,False,False,False,False
"50666",1,8,False,8,False,False,False,False
"44223",1,4,False,4,False,False,False,False
"21427",1,2,True,2,False,False,False,False
"75729",1,6,True,6,False,False,False,False
"31965",1,4,False,4,False,False,False,False
"42485",1,8,False,8,False,False,False,False
"49036",1,6,False,6,False,False,False,False
"34456",1,6,False,6,False,False,False,False
"42484",1,14,False,14,False,False,False,False
"54003",1,4,True,4,False,False,False,False
"42487",1,6,False,6,False,False,False,False
"62693",1,2,False,2,False,False,False,False
"64292",1,5,False,5,False,False,False,False
"61758",1,16,False,16,False,False,False,False
"60575",1,4,False,4,False,False,False,False
"44497",1,7,False,7,False,False,False,False
"59003",1,1,False,1,False,False,False,False
"52952",1,4,False,4,False,False,False,False
"59005",1,3,True,1,False,False,False,False
"41125",1,5,False,5,False,False,False,False
"56852",1,1,False,1,False,False,False,False
"73542",1,2,False,2,False,False,False,False
"31967",1,4,False,4,False,False,False,False
"50413",5,4,False,4,False,False,False,False
"61010",4,2,False,2,False,False,False,False
