hotel_id,median_price_premium,median_occ_residual,median_expected_residual,median_diagnosis_residual,avg_price,avg_occupancy,n_days,diagnosis
11273,-0.015899457277382595,0.13010614244215038,-7.452948773388539e-05,0.12620894348025968,206.29833333333335,0.27555558,150,UNDERPRICING
11274,-0.4923136070233638,0.04674048219589287,-0.0023077442390482,0.04933704062872235,116.6346402773583,0.2124904,430,FAIR
11328,-0.40578001983978607,0.24292459667851918,-0.0019021137944328444,0.24373184116502983,150.97235704323572,0.48535565,239,UNDERPRICING
11333,-0.5261986724725184,0.09220269382541835,-0.0024665821494055037,0.09416502546820767,236.59126524644947,0.21780254,323,FAIR
11334,0.15241501236209917,0.019406408252930624,0.0007144528644043801,0.01871536966587337,583.9212020671009,0.08297919,405,FAIR
11335,-0.3517691925057615,0.21538716398056365,-0.0016489353856946778,0.21449316627884452,388.64162634408603,0.38709676,124,UNDERPRICING
11336,-0.46748122464294595,0.042942836121648405,-0.002191341225678855,0.0445324776408671,96.35662779366388,0.26663822,556,FAIR
11343,0.5333739425348507,0.14293380779670573,0.0025002165806171047,0.14043359121608862,227.5,0.25,2,EXCEPTIONAL_VALUE
11349,-0.29929878375408403,0.08521151454941389,-0.001402977764800723,0.08751076605393732,251.19628130511464,0.26722148,108,FAIR
11366,-0.9257350221911465,0.1715704580777263,-0.0043394284331560035,0.17591090007873533,13.572025869594329,0.7440939,418,UNDERPRICING
11380,0.27901448544248075,0.13842059758109249,0.0013078941191246123,0.1338719046681367,307.7938569769371,0.303335,287,EXCEPTIONAL_VALUE
11402,-0.55937041344403,0.21951394184775647,-0.002622076316201044,0.22229819529638817,58.166666666666664,0.31944445,12,UNDERPRICING
11406,-0.7108911419859674,0.19675720856684029,-0.003332337181228177,0.19807506426796995,109.08644132224995,0.4578028,307,UNDERPRICING
11407,0.045777551799889626,0.7795808714849295,0.00021458452485736873,0.779051413358906,939.031914893617,1.0,47,EXCEPTIONAL_VALUE
11415,-0.3992527162073499,0.44547499247312805,-0.001871516737720662,0.445003985485355,185.01807692307693,0.5769231,13,UNDERPRICING
11420,-0.5109526274743761,0.18412604649442132,-0.0023951155638575992,0.18544182846424567,114.30002581755595,0.3969808,332,UNDERPRICING
11425,0.269143418615607,0.18141408404154993,0.00126162300803201,0.1850457664476759,210.93493099787685,0.42515925,157,EXCEPTIONAL_VALUE
11440,-0.3577148079589736,0.08680814077823595,-0.001676805750466243,0.08824329569801877,138.7846351902768,0.2786703,226,FAIR
11467,-0.06073768417310145,0.17297272816025974,-0.00028471088091812987,0.17469712557163752,238.9244607843137,0.37107843,68,UNDERPRICING
11477,-0.28755983761482423,0.15325797531109248,-0.001347950877591229,0.15429253047040883,182.1816903390915,0.50057584,521,UNDERPRICING
11484,-0.2580136265246731,0.08031151319990598,-0.0012094515603749926,0.08074047414553842,329.78591395817585,0.24511737,378,FAIR
11491,0.7505647928569558,0.05502130549259891,0.003518309370364091,0.051021450438531374,329.37895588235295,0.16024797,136,FAIR
11502,-0.4480443381827259,0.2287549865001342,-0.0021002298647217364,0.23048176649622149,201.8740257352941,0.4540441,272,UNDERPRICING
11527,1.2164481940752294,0.22545036078146502,0.005702160720177847,0.21870246113035585,769.1382142857143,0.39880952,14,EXCEPTIONAL_VALUE
11539,-0.04950551564132365,0.1092122501093154,-0.00023205953866100115,0.10826744429405669,225.3484154923874,0.22341707,196,UNDERPRICING
11549,0.5579821519419284,0.11942957242909541,0.002615568772151758,0.11863103539028745,355.63088573668716,0.25362903,248,EXCEPTIONAL_VALUE
11558,0.5743181439479194,0.0826070182539367,0.0026921445378895797,0.08088099496830112,621.9212763157894,0.16973685,190,FAIR
11561,-0.07616537706002201,0.0709411803839122,-0.0003570289498759643,0.07129820933378817,168.43322222222224,0.28138888,15,FAIR
