hotel_id,target_date,segment,performance,recommendation,current_price,recommended_price,current_revpar,expected_revpar,peer_median_price,best_peer_price,best_peer_revpar,elasticity_used,reasoning,confidence,n_peers
8998,2024-06-15,rural,underperforming,LOWER,93.46204680074639,48.76,17.99,12.07,58.93,48.76,445.76,-0.597,Hotel is overpriced vs best peer. Lower to €49.,high,8
8981,2024-06-15,rural,underperforming,RAISE,135.32395687645686,183.63,110.04,132.18,139.18,183.63,4958.11,-0.322,Hotel is underpriced vs best peer. Raise to €184.,high,8
10895,2024-06-15,urban_fringe,underperforming,RAISE,37.16605311071032,149.88,18.93,7.49,108.0,149.88,1117.68,-0.376,Hotel is underpriced vs best peer. Raise to €150.,high,10
12623,2024-06-15,urban_core,underperforming,RAISE,5.11,121.56,0.12,6.08,121.66,121.56,1319.77,-0.991,Hotel is underpriced vs best peer. Raise to €122.,low,10
10474,2024-06-15,resort_coastal,underperforming,INVESTIGATE,172.2093981029959,172.21,168.42,168.42,129.04,190.09,4616.49,-0.24,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,high,8
13296,2024-06-15,resort_coastal,underperforming,RAISE,58.81081515398853,128.43,29.86,39.09,127.24,128.43,1186.41,-0.338,Hotel is underpriced vs best peer. Raise to €128.,high,9
23824,2024-06-15,rural,underperforming,LOWER,225.16714393939392,108.35,87.73,53.95,99.83,108.35,3002.98,-0.536,Hotel is overpriced vs best peer. Lower to €108.,medium,5
11936,2024-06-15,urban_fringe,underperforming,RAISE,50.053442759626826,159.19,21.41,7.96,102.75,159.19,545.78,-0.423,Hotel is underpriced vs best peer. Raise to €159.,high,10
24567,2024-06-15,major_metro,underperforming,RAISE,110.16569617690764,132.09,44.78,46.55,90.0,132.09,992.56,-0.668,Hotel is underpriced vs best peer. Raise to €132.,high,9
7761,2024-06-15,provincial_city,underperforming,RAISE,109.8802506105006,142.42,103.84,110.92,114.86,142.42,3967.35,-0.594,Hotel is underpriced vs best peer. Raise to €142.,medium,7
12646,2024-06-15,small_town,underperforming,INVESTIGATE,104.68769230769232,104.69,55.22,55.22,86.9,111.57,9036.99,-0.552,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,7
6848,2024-06-15,urban_core,underperforming,INVESTIGATE,66.77636593204775,66.78,16.26,16.26,74.75,61.99,1954.06,-0.991,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,7
19870,2024-06-15,rural,underperforming,RAISE,44.46418225623582,71.77,34.03,44.08,114.76,71.77,3916.77,-0.322,Hotel is underpriced vs best peer. Raise to €72.,high,8
13209,2024-06-15,major_metro,underperforming,LOWER,154.38845644074613,112.4,36.05,31.68,89.18,112.4,826.93,-0.761,Hotel is overpriced vs best peer. Lower to €112.,medium,6
14347,2024-06-15,urban_fringe,underperforming,RAISE,99.81659357337176,141.84,89.94,113.45,111.67,141.84,2391.04,-0.267,Hotel is underpriced vs best peer. Raise to €142.,high,9
